date,S&P 500,Bursa de valori,Yahoo Finance,Recesiune
2023-11-26,12.0,18.0,9.0,3.0
2023-12-03,13.0,18.0,9.0,3.0
2023-12-10,14.0,19.0,9.0,3.0
2023-12-17,14.0,21.0,9.0,3.0
2023-12-24,12.0,19.0,7.0,2.0
2023-12-31,13.0,20.0,8.0,2.0
2024-01-07,14.0,18.0,9.0,2.0
2024-01-14,13.0,23.0,8.0,2.0
2024-01-21,14.0,21.0,9.0,3.0
2024-01-28,15.0,19.0,9.0,3.0
2024-02-04,16.0,18.0,10.0,3.0
2024-02-11,15.0,19.0,9.0,7.0
2024-02-18,14.0,18.0,9.0,4.0
2024-02-25,14.0,18.0,10.0,3.0
2024-03-03,16.0,19.0,10.0,3.0
2024-03-10,13.0,19.0,9.0,3.0
2024-03-17,15.0,17.0,9.0,3.0
2024-03-24,13.0,19.0,9.0,3.0
2024-03-31,14.0,17.0,9.0,2.0
2024-04-07,14.0,18.0,9.0,3.0
2024-04-14,16.0,20.0,9.0,3.0
2024-04-21,15.0,17.0,9.0,3.0
2024-04-28,14.0,18.0,9.0,3.0
2024-05-05,13.0,16.0,8.0,3.0
2024-05-12,13.0,17.0,9.0,3.0
2024-05-19,14.0,18.0,8.0,3.0
2024-05-26,12.0,17.0,7.0,2.0
2024-06-02,14.0,22.0,8.0,2.0
2024-06-09,14.0,17.0,8.0,2.0
2024-06-16,13.0,18.0,8.0,2.0
2024-06-23,13.0,13.0,7.0,2.0
2024-06-30,12.0,16.0,7.0,2.0
2024-07-07,15.0,16.0,8.0,2.0
2024-07-14,17.0,20.0,9.0,2.0
2024-07-21,18.0,20.0,9.0,2.0
2024-07-28,18.0,20.0,9.0,3.0
2024-08-04,33.0,52.0,11.0,10.0
2024-08-11,19.0,20.0,8.0,3.0
2024-08-18,18.0,18.0,8.0,3.0
2024-08-25,16.0,17.0,9.0,2.0
2024-09-01,16.0,20.0,8.0,3.0
2024-09-08,17.0,18.0,8.0,3.0
2024-09-15,18.0,19.0,9.0,3.0
2024-09-22,16.0,16.0,8.0,3.0
2024-09-29,16.0,19.0,8.0,2.0
2024-10-06,16.0,19.0,8.0,2.0
2024-10-13,16.0,16.0,8.0,2.0
2024-10-20,16.0,18.0,9.0,2.0
2024-10-27,16.0,19.0,9.0,2.0
2024-11-03,23.0,26.0,10.0,3.0
2024-11-10,20.0,23.0,10.0,3.0
2024-11-17,17.0,19.0,10.0,3.0
2024-11-24,16.0,18.0,7.0,2.0
2024-12-01,17.0,17.0,9.0,2.0
2024-12-08,18.0,17.0,9.0,2.0
2024-12-15,22.0,21.0,9.0,2.0
2024-12-22,17.0,20.0,7.0,2.0
2024-12-29,18.0,20.0,7.0,2.0
2025-01-05,20.0,22.0,9.0,2.0
2025-01-12,20.0,19.0,9.0,2.0
2025-01-19,20.0,20.0,9.0,2.0
2025-01-26,25.0,24.0,11.0,2.0
2025-02-02,24.0,23.0,11.0,3.0
2025-02-09,19.0,18.0,10.0,2.0
2025-02-16,18.0,21.0,9.0,3.0
2025-02-23,24.0,22.0,10.0,3.0
2025-03-02,34.0,35.0,12.0,4.0
2025-03-09,44.0,40.0,12.0,11.0
2025-03-16,28.0,22.0,10.0,5.0
2025-03-23,24.0,21.0,9.0,4.0
2025-03-30,58.0,53.0,13.0,10.0
2025-04-06,100.0,88.0,18.0,13.0
2025-04-13,33.0,31.0,10.0,5.0
2025-04-20,36.0,28.0,12.0,4.0
2025-04-27,27.0,23.0,10.0,5.0
2025-05-04,24.0,21.0,10.0,3.0
2025-05-11,31.0,23.0,11.0,3.0
2025-05-18,24.0,19.0,10.0,3.0
2025-05-25,21.0,16.0,9.0,2.0
2025-06-01,23.0,16.0,10.0,3.0
2025-06-08,23.0,20.0,10.0,2.0
2025-06-15,19.0,21.0,9.0,3.0
2025-06-22,24.0,20.0,10.0,2.0
2025-06-29,21.0,18.0,8.0,2.0
2025-07-06,21.0,19.0,9.0,2.0
2025-07-13,21.0,19.0,10.0,2.0
2025-07-20,23.0,20.0,10.0,2.0
2025-07-27,27.0,27.0,11.0,2.0
2025-08-03,31.0,30.0,13.0,3.0
2025-08-10,37.0,30.0,18.0,4.0
2025-08-17,34.0,32.0,16.0,3.0
2025-08-24,30.0,27.0,15.0,3.0
2025-08-31,29.0,30.0,13.0,4.0
2025-09-07,30.0,29.0,15.0,4.0
2025-09-14,29.0,24.0,15.0,4.0
2025-09-21,28.0,27.0,15.0,3.0
2025-09-28,30.0,27.0,15.0,3.0
2025-10-05,32.0,29.0,15.0,3.0
2025-10-12,35.0,32.0,15.0,4.0
2025-10-19,29.0,28.0,14.0,3.0
2025-10-26,30.0,25.0,13.0,3.0
2025-11-02,29.0,32.0,13.0,3.0
2025-11-09,30.0,28.0,13.0,3.0
2025-11-16,33.0,30.0,13.0,4.0
2025-11-23,28.0,29.0,10.0,3.0
2025-11-30,29.0,28.0,12.0,4.0
2025-12-07,26.0,27.0,11.0,3.0
2025-12-14,26.0,25.0,10.0,3.0
2025-12-21,22.0,24.0,8.0,2.0
2025-12-28,22.0,25.0,8.0,2.0
2026-01-04,26.0,24.0,11.0,3.0
2026-01-11,27.0,26.0,11.0,3.0
2026-01-18,28.0,30.0,12.0,3.0
2026-01-25,29.0,29.0,13.0,3.0
2026-02-01,30.0,32.0,15.0,4.0
